+-------+----------+-------------+-------------+-------------+---------------+--------------+----------+----------+-----------------------------+---------------------------------------------+-----------------+-------------+-----------------+--------------+
|Record |OrderID   |CustomerID   |EmployeeID   |OrderDate    |RequiredDate   |ShippedDate   |ShipVia   |Freight   |ShipName                     |ShipAddress                                  |ShipCity         |ShipRegion   |ShipPostalCode   |ShipCountry   |
|# 16   |10263     |ERNSH        |9            |23.07.1996   |20.08.1996     |31.07.1996    |3         |146       |Ernst Handel                 |Kirchgasse 6                                 |Graz             |             |8010             |Austria       |
|# 17   |10264     |FOLKO        |6            |24.07.1996   |21.08.1996     |23.08.1996    |3         |4         |Folk och fä HB               |Åkergatan 24                                 |Bräcke           |             |S-844 67         |Sweden        |
|# 18   |10265     |BLONP        |2            |25.07.1996   |22.08.1996     |12.08.1996    |1         |55        |Blondel père et fils         |24, place Kléber                             |Strasbourg       |             |67000            |France        |
|# 19   |10266     |WARTH        |3            |26.07.1996   |06.09.1996     |31.07.1996    |3         |26        |Wartian Herkku               |Torikatu 38                                  |Oulu             |             |90110            |Finland       |
|# 20   |10267     |FRANK        |4            |29.07.1996   |26.08.1996     |06.08.1996    |1         |209       |Frankenversand               |Berliner Platz 43                            |München          |             |80805            |Germany       |
|# 21   |10268     |GROSR        |8            |30.07.1996   |27.08.1996     |02.08.1996    |3         |66        |GROSELLA-Restaurante         |5ª Ave. Los Palos Grandes                     |Caracas          |DF           |1081             |Venezuela     |
|# 22   |10269     |WHITC        |5            |31.07.1996   |14.08.1996     |09.08.1996    |1         |5         |White Clover Markets         |1029 - 12th Ave. S.                           |Seattle          |WA           |98124            |USA           |
|# 23   |10270     |WARTH        |1            |01.08.1996   |29.08.1996     |02.08.1996    |1         |137       |Wartian Herkku               |Torikatu 38                                   |Oulu             |             |90110            |Finland       |
|# 24   |10271     |SPLIR        |6            |01.08.1996   |29.08.1996     |30.08.1996    |2         |5         |Split Rail Beer & Ale        |P.O. Box 555                                  |Lander           |WY           |82520            |USA           |
|# 25   |10272     |RATTC        |6            |02.08.1996   |30.08.1996     |06.08.1996    |2         |98        |Rattlesnake Canyon Grocery   |2817 Milton Dr.                               |Albuquerque      |NM           |87110            |USA           |
|# 26   |10273     |QUICK        |3            |05.08.1996   |02.09.1996     |12.08.1996    |3         |76        |QUICK-Stop                   |Taucherstraße 10                              |Cunewalde        |             |01307            |Germany       |
|# 27   |10274     |VINET        |6            |06.08.1996   |03.09.1996     |16.08.1996    |1         |6         |Vins et alcools Chevalier    |59 rue de l'Abbaye                            |Reims            |             |51100            |France        |
|# 28   |10275     |MAGAA        |1            |07.08.1996   |04.09.1996     |09.08.1996    |1         |27        |Magazzini Alimentari Riuniti |Via Ludovico il Moro 22                       |Bergamo          |             |24100            |Italy         |
|# 29   |10276     |TORTU        |8            |08.08.1996   |22.08.1996     |14.08.1996    |3         |14        |Tortuga Restaurante          |Avda. Azteca 123                              |México D.F.      |             |05033            |Mexico        |
|# 30   |10277     |MORGK        |2            |09.08.1996   |06.09.1996     |13.08.1996    |3         |126       |Morgenstern Gesundkost       |Heerstr. 22                                   |Leipzig          |             |04179            |Germany       |
|# 31   |10278     |BERGS        |8            |12.08.1996   |09.09.1996     |16.08.1996    |2         |93        |Berglunds snabbköp           |Berguvsvägen  8                               |Luleå            |             |S-958 22         |Sweden        |
|# 32   |10279     |LEHMS        |8            |13.08.1996   |10.09.1996     |16.08.1996    |2         |26        |Lehmanns Marktstand          |Magazinweg 7                                  |Frankfurt a.M.   |             |60528            |Germany       |
|# 33   |10280     |BERGS        |2            |14.08.1996   |11.09.1996     |12.09.1996    |1         |9         |Berglunds snabbköp           |Berguvsvägen  8                               |Luleå            |             |S-958 22         |Sweden        |
|# 34   |10281     |ROMEY        |4            |14.08.1996   |28.08.1996     |21.08.1996    |1         |3         |Romero y tomillo             |Gran Vía, 1                                   |Madrid           |             |28001            |Spain         |
|# 35   |10282     |ROMEY        |4            |15.08.1996   |12.09.1996     |21.08.1996    |1         |13        |Romero y tomillo             |Gran Vía, 1                                   |Madrid           |             |28001            |Spain         |
|# 36   |10283     |LILAS        |3            |16.08.1996   |13.09.1996     |23.08.1996    |3         |85        |LILA-Supermercado            |Carrera 52 con Ave. Bolívar #65-98 Llano Largo|Barquisimeto     |Lara         |3508             |Venezuela     |
|# 37   |10284     |LEHMS        |4            |19.08.1996   |16.09.1996     |27.08.1996    |1         |77        |Lehmanns Marktstand          |Magazinweg 7                                  |Frankfurt a.M.   |             |60528            |Germany       |
|# 38   |10285     |QUICK        |1            |20.08.1996   |17.09.1996     |26.08.1996    |2         |77        |QUICK-Stop                   |Taucherstraße 10                              |Cunewalde        |             |01307            |Germany       |
|# 39   |10286     |QUICK        |8            |21.08.1996   |18.09.1996     |30.08.1996    |3         |229       |QUICK-Stop                   |Taucherstraße 10                              |Cunewalde        |             |01307            |Germany       |
|# 40   |10287     |RICAR        |8            |22.08.1996   |19.09.1996     |28.08.1996    |3         |13        |Ricardo Adocicados           |Av. Copacabana, 267                           |Rio de Janeiro   |RJ           |02389-890        |Brazil        |
|# 41   |10288     |REGGC        |4            |23.08.1996   |20.09.1996     |03.09.1996    |1         |7         |Reggiani Caseifici           |Strada Provinciale 124                        |Reggio Emilia    |             |42100            |Italy         |
|# 42   |10289     |BSBEV        |7            |26.08.1996   |23.09.1996     |28.08.1996    |3         |23        |B's Beverages                |Fauntleroy Circus                             |London           |             |EC2 5NT          |UK            |
|# 43   |10290     |COMMI        |8            |27.08.1996   |24.09.1996     |03.09.1996    |1         |80        |Comércio Mineiro             |Av. dos Lusíadas, 23                          |São Paulo        |SP           |05432-043        |Brazil        |
|# 44   |10291     |QUEDE        |6            |27.08.1996   |24.09.1996     |04.09.1996    |2         |6         |Que Delícia                  |Rua da Panificadora, 12                       |Rio de Janeiro   |RJ           |02389-673        |Brazil        |
|# 45   |10292     |TRADH        |1            |28.08.1996   |25.09.1996     |02.09.1996    |2         |1         |Tradição Hipermercados       |Av. Inês de Castro, 414                       |São Paulo        |SP           |05634-030        |Brazil        |
|# 46   |10293     |TORTU        |1            |29.08.1996   |26.09.1996     |11.09.1996    |3         |21        |Tortuga Restaurante          |Avda. Azteca 123                              |México D.F.      |             |05033            |Mexico        |
|# 47   |10294     |RATTC        |4            |30.08.1996   |27.09.1996     |05.09.1996    |2         |147       |Rattlesnake Canyon Grocery   |2817 Milton Dr.                               |Albuquerque      |NM           |87110            |USA           |
|# 48   |10295     |VINET        |2            |02.09.1996   |30.09.1996     |10.09.1996    |2         |1         |Vins et alcools Chevalier    |59 rue de l'Abbaye                            |Reims            |             |51100            |France        |
|# 49   |10295     |VINET        |2            |02.09.1996   |30.09.1996     |10.09.1996    |2         |1         |Vins et alcools Chevalier    |59 rue de l'Abbaye                            |Reims            |             |51100            |France        |
+-------+----------+-------------+-------------+-------------+---------------+--------------+----------+----------+-----------------------------+----------------------------------------------+-----------------+-------------+-----------------+--------------+
