name|type|low|high|elementary_school|middle_school|high_school
Amethyst|Wy|27500|27574|Northlake Hills|Castaic MS|Castaic HS
Amhurst|Pl|30300|30338|Live Oak|Castaic MS|Castaic HS
Amor|Walk|0|0|Live Oak|Castaic MS|Castaic HS
Amorette|Ct|20307|20323|Amphora|Arroyo Seco JH|Saugus HS
Anacapa|Ln|23300|23349|Northpark|Rio Norte JH|Valencia HS
Anchor|Ln|26800|26821|Bridgeport|Rio Norte JH|Valencia HS
Andermatt|Pl|25900|25921|Meadows|Placerita JH|Hart HS
Anderson|Ln|25800|25869|Pico Cyn|Rancho Pico JH|West Ranch HS
Angela Yvonne|Av|21400|21512|Rosedell|Arroyo Seco JH|Saugus HS
Angelica|Pl|28100|28199|Northpark|Rio Norte JH|Valencia HS
Anna|Ct|29104|29133|Mountain View|Rio Norte JH|Valencia HS
Anne Freda|St|17123|17246|Mitchell|Sierra Vista JH|Canyon HS
Annelise|Wy|0|0|Plum Cyn|Arroyo Seco JH|Saugus HS
Annes|Cr|18000|18078|Fair Oaks|La Mesa JH|Golden Valley HS
Annette Jo|Cr|27401|27466|Rosedell|Arroyo Seco JH|Saugus HS
Annmae|Pl|0|0|Plum Cyn|Arroyo Seco JH|Saugus HS
Anthony|Ln|27410|27411|Fair Oaks|La Mesa JH|Golden Valley HS
Anvik|St|30000|30061|Live Oak|Castaic MS|Castaic HS
Anza|Dr|24800|25199|Bridgeport|Rio Norte JH|Valencia HS
Anzel|Cr|19300|19389|Valley View|La Mesa JH|Golden Valley HS
Anzio|Wy|25850|25889|Meadows|Placerita JH|Hart HS
Aosta|Ct|25952|25971|Meadows|Placerita JH|Hart HS
Apache|Ct|27600|27649|Live Oak|Castaic MS|Castaic HS
Apam||0|0|Live Oak|Castaic MS|Castaic HS
Aparri|Av|30511|30573|Live Oak|Castaic MS|Castaic HS
Aphrodite|Ln|18800|18824|Leona Cox|Sierra Vista JH|Canyon HS
Appalachian|Dr|30500|30566|Castaic Elem|Castaic MS|Castaic HS
Appaloosa|Rd|27200|27220|Sulphur Springs|Sierra Vista JH|Canyon HS
Apple|St|24401|24899|Peachland|Placerita JH|Hart HS
Applegate|Ct|21600|21640|Mountain View|Rio Norte JH|Valencia HS
Applewood|Ln|28401|28649|Northlake Hills|Castaic MS|Castaic HS
Apricot|Pl|28600|28651|Mountain View|Rio Norte JH|Valencia HS
Aranda|Ln|0|0|Rio Norte JH|Valencia HS|Arbor
Ln||25806|25828|Pico Cyn|Rancho Pico JH|West Ranch HS
Arbor|Pl|27274|27299|Bridgeport|Rio Norte JH|Valencia HS
Arbor Hill|Wy|0|0|Newhall|Placerita JH|Hart HS
Arcadia|St|24300|24799|Newhall|Placerita JH|Hart HS
Arcay|Av|27502|27537|Canyon Springs|La Mesa JH|Golden Valley HS
Arcay|Av|27905|27951|Leona Cox|Sierra Vista JH|Canyon HS
Arch|St|23951|24137|Old Orchard|Placerita JH|Hart HS
Arch|St|24138|24299|Peachland|Placerita JH|Hart HS
Arch|St|24600|24699|Newhall|Placerita JH|Hart HS
Arches|Ln|14200|14299|Sulphur Springs|Sierra Vista JH|Canyon HS
Arden|Av|0|0|Newhall|Placerita JH|Hart HS
Arena|Dr|0|0|Northlake Hills|Castaic MS|Castaic HS
Argenti|Ct|0|0|Plum Cyn|Arroyo Seco JH|Saugus HS
Arlen|Dr|23515|23557|Peachland|Placerita JH|Hart HS
Arline|St|29700|30199|Mint Cyn|La Mesa JH|Golden Valley HS
Arlington|St|30212|30815|Live Oak|Castaic MS|Castaic HS
Armstrong|Cr|25700|25740|Pico Cyn|Rancho Pico JH|West Ranch HS
Arriba|Dr|22500|22669|Santa Clarita|Arroyo Seco JH|Saugus HS
Arriola|Av|27301|27519|Highlands|Arroyo Seco JH|Saugus HS
Arrow Point|Dr|31424|31636|Northlake Hills|Castaic MS|Castaic HS
Arrowhead|Ct|24153|24165|Bridgeport|Rio Norte JH|Valencia HS
Arroyo|Ct|28300|28338|Castaic Elem|Castaic MS|Castaic HS
Arroyo Oak|Ln|29700|29899|Live Oak|Castaic MS|Castaic HS
Arroyo Pk - All Numbers|Dr|23800|23999|Valencia Valley|Placerita JH|Hart HS
Arroyo Pk - All Numbers|Dr|24051|24499|Meadows|Placerita JH|Hart HS
Arroyo Pk - Even Number|Dr|24000|24050|Meadows|Placerita JH|Hart HS
Arroyo Pk - Odd Numbers|Dr|24001|24049|Valencia Valley|Placerita JH|Hart HS
Arroyo Spring|Dr|0|0|Rio Norte JH|Valencia HS|Arthur
Ct||20200|20234|Plum Cyn|Arroyo Seco JH|Saugus HS
Artine|Dr|27501|27597|Highlands|Arroyo Seco JH|Saugus HS
Ascona|Dr|17400|17456|Mitchell|Sierra Vista JH|Canyon HS
Ash|Ct|22500|22525|Mountain View|Rio Norte JH|Valencia HS
Ash Creek|Ln|22800|22815|Santa Clarita|Arroyo Seco JH|Saugus HS
Ash Glen|Cr|23000|23051|Santa Clarita|Arroyo Seco JH|Saugus HS
Ashboro|Dr|19548|28199|Skyblue Mesa|Sierra Vista JH|Canyon HS
Ashbrook|Ln|23438|28199|Northpark|Rio Norte JH|Valencia HS
Ashby|Ct|27600|27611|Live Oak|Castaic MS|Castaic HS
Ashfield|Ct|30303|30317|Castaic Elem|Castaic MS|Castaic HS
Ashfield|Pl|27249|27275|Helmers|Rio Norte JH|Valencia HS
Ashland|Ct|23601|23625|Helmers|Rio Norte JH|Valencia HS
Ashwood|Pl|23600|23739|Northpark|Rio Norte JH|Valencia HS
Aspen|Ct|22800|22861|Mountain View|Rio Norte JH|Valencia HS
Aspen|Pl|0|0|Fair Oaks|La Mesa JH|Golden Valley HS
Aspen Meadow|Ct|23700|23799|Northpark|Rio Norte JH|Valencia HS
Aspen Ridge|Dr|23200|23231|Foster|Arroyo Seco JH|Saugus HS
Astor Racing|Ct|24300|24360|Bridgeport|Rio Norte JH|Valencia HS
Atherton Cyn|Rd|0|0|Plum Cyn|Arroyo Seco JH|Saugus HS
Atlas|Ln|27631|27645|Leona Cox|Sierra Vista JH|Canyon HS
Atley|Ct|28300|28355|Plum Cyn|Arroyo Seco JH|Saugus HS
Atwood|Blvd|25000|25265|Wiley Cyn|Rancho Pico JH|West Ranch HS
Auburn|Ct|27600|27669|Leona Cox|Sierra Vista JH|Canyon HS
Audrey|Ct|27802|27952|Skyblue Mesa|Sierra Vista JH|Canyon HS
Augusta|Pl|26831|26917|Bridgeport|Rancho Pico JH|West Ranch HS
Aumond|Av|28000|28055|Skyblue Mesa|Sierra Vista JH|Canyon HS
Aurora|Dr|0|0|Live Oak|Castaic MS|Castaic HS
Aurora|Ln|20300|20335|Rio Vista|La Mesa JH|Golden Valley HS
Austin|Ct|15904|15928|Mint Cyn|Sierra Vista JH|Canyon HS
Autumn|Pl|25403|25459|Pico Cyn|Rancho Pico JH|West Ranch HS
Autumn Oak|Ct|32300|32389|Northlake Hills|Castaic MS|Castaic HS
Autumn Oak|Wy|0|0|Fair Oaks|La Mesa JH|Golden Valley HS
Av|A|0|0|Live Oak|Castaic MS|Castaic HS
Av|B|0|0|Live Oak|Castaic MS|Castaic HS
Av Crocker||28100|28499|Live Oak|Castaic MS|Castaic HS
Av Hall||0|0|Live Oak|Castaic MS|Castaic HS
Av Hopkins||27450|27699|Bridgeport|Rio Norte JH|Valencia HS
Av Hopkins||27700|27833|Live Oak|Castaic MS|Castaic HS
Av Kearney||24900|25099|Bridgeport|Rio Norte JH|Valencia HS
Av Of The Oaks||19002|26867|Valley View|La Mesa JH|Golden Valley HS
Av Paine||0|0|Live Oak|Castaic MS|Castaic HS
Av Penn||0|0|Live Oak|Castaic MS|Castaic HS
Av Rockefeller||24600|25099|Bridgeport|Rio Norte JH|Valencia HS
Av Scott||27500|27749|Bridgeport|Rio Norte JH|Valencia HS
Av Scott||27750|27999|Live Oak|Castaic MS|Castaic HS
Av Sherman||0|0|Live Oak|Castaic MS|Castaic HS
Av Stanford||24900|25099|Bridgeport|Rio Norte JH|Valencia HS
Av Stanford||25100|28499|Live Oak|Castaic MS|Castaic HS
Av Tibbitts||0|0|Live Oak|Castaic MS|Castaic HS
Av Tibbitts||24800|25199|Bridgeport|Rio Norte JH|Valencia HS
Av Williams||0|0|Live Oak|Castaic MS|Castaic HS
Avanti|Ct|25353|25361|Pico Cyn|Rancho Pico JH|West Ranch HS
Avd Avila||29200|29229|Tesoro Del Valle|Rio Norte JH|Valencia HS
Avd Balita||24900|25058|Newhall|Placerita JH|Hart HS
Avd Cappela||25300|25460|Old Orchard|Placerita JH|Hart HS
Avd Crescenta||23000|24187|Old Orchard|Placerita JH|Hart HS
Avd De Estrella||31751|31763|Northlake Hills|Castaic MS|Castaic HS
Avd De Sonrisa||21101|21157|Rosedell|Arroyo Seco JH|Saugus HS
Avd Del Luna||31776|31789|Northlake Hills|Castaic MS|Castaic HS
Avd Del Sol||31771|31775|Northlake Hills|Castaic MS|Castaic HS
Avd Dorena||25200|25299|Wiley Cyn|Rancho Pico JH|West Ranch HS
Avd Entrana||23915|24099|Old Orchard|Placerita JH|Hart HS
Avd Escalera||25400|25539|Old Orchard|Placerita JH|Hart HS
Avd Frasca||25400|25564|Meadows|Placerita JH|Hart HS
Avd Ignacio||25100|25198|Newhall|Placerita JH|Hart HS
Avd Jolita||25600|25699|Meadows|Placerita JH|Hart HS
Avd Navarre - Even Number||25500|25548|Meadows|Placerita JH|Hart HS
Avd Navarre - Even Number||25550|25798|Valencia Valley|Placerita JH|Hart HS
Avd Navarre - Odd Numbers||25501|25799|Meadows|Placerita JH|Hart HS
Avd Presidio||24800|24811|Bridgeport|Rancho Pico JH|West Ranch HS
Avd Rancho Tesoro||0|0|Tesoro Del Valle|Rio Norte JH|Valencia HS
Avd Ronada||25301|25371|Old Orchard|Placerita JH|Hart HS
Avd Rondel||25100|25261|Old Orchard|Placerita JH|Hart HS
Avd Rotella||23400|25252|Old Orchard|Placerita JH|Hart HS
Avd Sonrisa||31756|31769|Northlake Hills|Castaic MS|Castaic HS
Avd Terraza||26750|26959|Santa Clarita|Arroyo Seco JH|Saugus HS
Avd Velarte||23200|23699|Meadows|Placerita JH|Hart HS
Avignon|Dr|24600|24938|Bridgeport|Rancho Pico JH|West Ranch HS
Avion|Cr|28400|28499|Northlake Hills|Castaic MS|Castaic HS
Avocado|Ln|24046|24097|Bridgeport|Rio Norte JH|Valencia HS
Avocado|Pl|28500|28651|Mountain View|Rio Norte JH|Valencia HS
Avocet|Ct|18300|18320|Golden Oak|La Mesa JH|Golden Valley HS
Ayala|Rd|0|0|Live Oak|Castaic MS|Castaic HS
Azalia Trl|Ct|25702|25720|Pico Cyn|Rancho Pico JH|West Ranch HS
Azure Field|Dr|19702|19786|Valley View|La Mesa JH|Golden Valley HS
Azurite|Pl|28300|28371|Northpark|Rio Norte JH|Valencia HS
Babington|St|19500|19675|Cedarcreek|Sierra Vista JH|Canyon HS
Back Bay|Ct|24120|24128|Bridgeport|Rio Norte JH|Valencia HS
Backer||0|0|Live Oak|Castaic MS|Castaic HS
Bacon|Ct|27702|27709|Leona Cox|Sierra Vista JH|Canyon HS
Bagby|Dr|19000|19026|Leona Cox|Sierra Vista JH|Canyon HS
Bainbury|St|16701|16872|Mitchell|Sierra Vista JH|Canyon HS
Bainbury|St|18611|18784|Leona Cox|Sierra Vista JH|Canyon HS
Bainbury|St|28600|28653|Mitchell|Sierra Vista JH|Canyon HS
Bajada|Dr|23500|23667|Valencia Valley|Placerita JH|Hart HS
Baker|Pl|25500|25559|Pico Cyn|Rancho Pico JH|West Ranch HS
Baker|St|0|0|Sulphur Springs|Sierra Vista JH|Canyon HS
Baker Cyn|Rd|14000|16101|Mint Cyn|La Mesa JH|Golden Valley HS
Bakerton|Av|27600|27661|Canyon Springs|Sierra Vista JH|Canyon HS
Bakerton|Av|27700|29222|Leona Cox|Sierra Vista JH|Canyon HS
Baldwin|Pl|26000|26082|Stevenson Ranch|Rancho Pico JH|West Ranch HS
Baleria|Ct|26000|26089|Valencia Valley|Placerita JH|Hart HS
Balerna|Dr|26600|26629|Emblem|Arroyo Seco JH|Saugus HS
Balsa|Ct|23804|23825|Northpark|Rio Norte JH|Valencia HS
Balsam|Ct|27902|27932|Northpark|Rio Norte JH|Valencia HS
Balta|Dr|0|0|Plum Cyn|Arroyo Seco JH|Saugus HS
Bamboo|Dr|24200|24249|Mc Grath|La Mesa JH|Golden Valley HS
Bancroft|Pl|29920|29949|Live Oak|Castaic MS|Castaic HS
Baneberry|Pl|27900|27916|Bridgeport|Rio Norte JH|Valencia HS
Banjo|Cr|28000|28099|Northlake Hills|Castaic MS|Castaic HS
Bannerman|Av|26500|26537|Valley View|La Mesa JH|Golden Valley HS
Banuelo|Av|27204|27336|Highlands|Arroyo Seco JH|Saugus HS
Banyan|Pl|22809|22949|Mountain View|Rio Norte JH|Valencia HS
Bar Harbor|Ct|23900|23999|Valencia Valley|Placerita JH|Hart HS
Barada|Av|27113|27246|Highlands|Arroyo Seco JH|Saugus HS
Barbacoa|Dr|22100|22399|Highlands|Arroyo Seco JH|Saugus HS
Barbacoa|Dr|22400|22661|Santa Clarita|Arroyo Seco JH|Saugus HS
Barbacoa|Pl|26900|26925|Highlands|Arroyo Seco JH|Saugus HS
Barcelona|Rd|30264|30461|Castaic Elem|Castaic MS|Castaic HS
Barcotta|Dr|22300|22679|Foster|Arroyo Seco JH|Saugus HS
Barfield|Dr|23300|23340|Helmers|Rio Norte JH|Valencia HS
Barganca|Ct|25610|25640|Old Orchard|Placerita JH|Hart HS
Barnacle|Ln|23238|23255|Bridgeport|Rio Norte JH|Valencia HS
Barnett|Ln|25028|25834|Stevenson Ranch|Rancho Pico JH|West Ranch HS
Barnhill|Rd|25052|25199|Newhall|Placerita JH|Hart HS
Barrett|Dr|27701|27779|Rosedell|Arroyo Seco JH|Saugus HS
Barringer|Rd|29565|30999|Northlake Hills|Castaic MS|Castaic HS
Basel|St|18900|18949|Leona Cox|Sierra Vista JH|Canyon HS
Basset||0|0|Live Oak|Castaic MS|Castaic HS
Bates|Pl|26000|26079|Stevenson Ranch|Rancho Pico JH|West Ranch HS
Baviera|Wy|27250|27299|Oak Hills|Rancho Pico JH|West Ranch HS
Baxard|Pl|27100|27199|Helmers|Rio Norte JH|Valencia HS
Bayport|Ln|26800|26837|Bridgeport|Rio Norte JH|Valencia HS
Bayside|Ln|0|0|Bridgeport|Rio Norte JH|Valencia HS
Bayview|Ct|23800|23811|Bridgeport|Rio Norte JH|Valencia HS
Baywood|Ln|0|0|Bridgeport|Rio Norte JH|Valencia HS
Bea|Ct|22400|22499|Foster|Arroyo Seco JH|Saugus HS
Beachcomber|Ln|23210|23349|Bridgeport|Rio Norte JH|Valencia HS
Beachgrove|Ct|19200|19234|Valley View|La Mesa JH|Golden Valley HS
Beacon|St|27784|27964|Live Oak|Castaic MS|Castaic HS
Beale|Ct|27924|27999|Live Oak|Castaic MS|Castaic HS
Beau|Ct|28011|28016|Rosedell|Arroyo Seco JH|Saugus HS
Beaumont|St|23200|23399|Helmers|Rio Norte JH|Valencia HS
Beautyberry|Pl|27000|27032|Fair Oaks|La Mesa JH|Golden Valley HS
Beaver Run|Rd|15700|15899|Sulphur Springs|Sierra Vista JH|Canyon HS
Beckett|Wy|0|0|Stevenson Ranch|Rancho Pico JH|West Ranch HS
Bedford|Wy|21600|21634|Rosedell|Arroyo Seco JH|Saugus HS
Beech Creek|Cr|22900|22956|Foster|Arroyo Seco JH|Saugus HS
Beecher|Ln|26100|26664|Stevenson Ranch|Rancho Pico JH|West Ranch HS
Beechnut|Cr|27900|27941|Foster|Arroyo Seco JH|Saugus HS
Beechwillow|St|26900|26959|Fair Oaks|La Mesa JH|Golden Valley HS
Beechwood|Dr|27604|27629|Leona Cox|Sierra Vista JH|Canyon HS
Begonias|Ln|14700|14977|Pinetree|Sierra Vista JH|Canyon HS
Begonias|Ln|29277|29399|Sulphur Springs|Sierra Vista JH|Canyon HS
Bel Monte|Ct|28200|28229|Mitchell|Sierra Vista JH|Canyon HS
Belcaro|Ct|23800|23899|Northpark|Rio Norte JH|Valencia HS
Beldove|Ct|22100|22199|Rosedell|Arroyo Seco JH|Saugus HS
Bella|Ct|24200|24246|Wiley Cyn|Rancho Pico JH|West Ranch HS
Bella Santa|Dr|26041|26139|Valencia Valley|Placerita JH|Hart HS
Bella Vista|Dr|23825|24949|Peachland|Placerita JH|Hart HS
Bellerive|Dr|25600|25699|Meadows|Placerita JH|Hart HS
Belleza|Ct|25254|25259|Pico Cyn|Rancho Pico JH|West Ranch HS
Bellis|Dr|25850|26099|Meadows|Placerita JH|Hart HS
Belmont|Ct|27300|27349|Helmers|Rio Norte JH|Valencia HS
Ben|Ct|20924|20939|Bouquet Cyn|Arroyo Seco JH|Saugus HS
Bena|Ct|28030|28045|Plum Cyn|Arroyo Seco JH|Saugus HS
Beneda|Ln|17800|18071|Mint Cyn|La Mesa JH|Golden Valley HS
Benito|Ct|26202|26212|Valencia Valley|Placerita JH|Hart HS
Bennington|Dr|23800|23981|Helmers|Rio Norte JH|Valencia HS
Bension|Dr|0|0|Plum Cyn|Arroyo Seco JH|Saugus HS
Bentgrass|Wy|26401|26419|Rio Vista|La Mesa JH|Golden Valley HS
Bentley|Wy|29100|29182|Mint Cyn|La Mesa JH|Golden Valley HS
Bentley Manor|Pl|17702|17764|Fair Oaks|La Mesa JH|Golden Valley HS
Benton|Ct|27003|27033|Helmers|Rio Norte JH|Valencia HS
Benz|Rd|20730|20881|Bouquet Cyn|Arroyo Seco JH|Saugus HS
Berault|Ct|26032|26065|Meadows|Placerita JH|Hart HS
Berino|Dr|26600|26333|Emblem|Arroyo Seco JH|Saugus HS
Berkshire|Pl|29850|29890|Live Oak|Castaic MS|Castaic HS
Berkshire Hills|Pl|27500|27589|Helmers|Rio Norte JH|Valencia HS
Bermejo|St|16600|16899|Mint Cyn|La Mesa JH|Golden Valley HS
Bernardo|Wy|29122|29299|Tesoro Del Valle|Rio Norte JH|Valencia HS
Bernina|Av|27501|27651|Canyon Springs|Sierra Vista JH|Canyon HS
Bernina|Av|27857|28007|Leona Cox|Sierra Vista JH|Canyon HS
Berrywood|Ct|30218|30231|Castaic Elem|Castaic MS|Castaic HS
Berwick|Pl|23400|23440|Helmers|Rio Norte JH|Valencia HS
Beryl|Pl|30400|30641|Castaic Elem|Castaic MS|Castaic HS
Berylwood|Pl|28300|28370|Northpark|Rio Norte JH|Valencia HS
Bettina|Ct|27700|27714|Castaic Elem|Castaic MS|Castaic HS
Beverly Glen|Ct|26901|26919|Bridgeport|Rancho Pico JH|West Ranch HS
Biago|Ct|0|0|West Creek|Rio Norte JH|Valencia HS
Bidwell|Ln|27100|27229|Helmers|Rio Norte JH|Valencia HS
Big Bend|Pl|29500|29555|Sulphur Springs|Sierra Vista JH|Canyon HS
Big Horn|Wy|26500|26599|Bridgeport|Rio Norte JH|Valencia HS
Big Horn Walk||23600|23699|Helmers|Rio Norte JH|Valencia HS
Big Oak|Ln|32001|32299|Northlake Hills|Castaic MS|Castaic HS
Big Rapids|Loop|27000|27049|Helmers|Rio Norte JH|Valencia HS
Big Sky|Walk|23600|23649|Helmers|Rio Norte JH|Valencia HS
Big Sur|Dr|26500|26511|Bridgeport|Rio Norte JH|Valencia HS
Bingham|Ct|23300|23349|Helmers|Rio Norte JH|Valencia HS
Birch|Pl|0|0|Northpark|Rio Norte JH|Valencia HS
Birch Cyn|Wy|21504|21520|Bouquet Cyn|Arroyo Seco JH|Saugus HS
Birch Glen|Cr|23000|23051|Foster|Arroyo Seco JH|Saugus HS
Birchleaf|Ct|25604|25665|Oak Hills|Rancho Pico JH|West Ranch HS
Birdsong|Rd|29400|29485|Plum Cyn|Arroyo Seco JH|Saugus HS
Birkewood|Ct|17706|17715|Fair Oaks|La Mesa JH|Golden Valley HS
Birmingham|Pl|22200|22271|Newhall|Placerita JH|Hart HS
Biscailuz|Dr|0|0|Live Oak|Castaic MS|Castaic HS
Bishop|Ct|25205|25225|Pico Cyn|Rancho Pico JH|West Ranch HS
Black Oak|Dr|25470|26563|Oak Hills|Rancho Pico JH|West Ranch HS
Black Oak|Ln|28600|28649|Northlake Hills|Castaic MS|Castaic HS
Black Pine|Wy|29100|29260|Mountain View|Rio Norte JH|Valencia HS
Blackbird|Ln|19650|20069|Rio Vista|La Mesa JH|Golden Valley HS
Blackbrush|Dr|17704|17846|Mitchell|Sierra Vista JH|Canyon HS
Blacker House|Ct|24040|24069|Valencia Valley|Placerita JH|Hart HS
Blackfoot|Ct|27604|27651|Live Oak|Castaic MS|Castaic HS
Blaine|Ct|19804|19820|Blake|Arroyo Seco JH|Saugus HS
Blake|Wy|29508|29568|Mint Cyn|La Mesa JH|Golden Valley HS
Blakely|Pl|27202|27274|Helmers|Rio Norte JH|Valencia HS
Blanca|Wy|25850|25887|Meadows|Placerita JH|Hart HS
Blending|Rd|0|0|Newhall|Placerita JH|Hart HS
Block Cyn|Rd|0|0|Golden Oak|La Mesa JH|Golden Valley HS
Bloomfield|Ct|27802|27858|Northpark|Rio Norte JH|Valencia HS
Blossom|Ct|24215|24243|Bridgeport|Rio Norte JH|Valencia HS
Blue Aspen|Ln|17387|17469|Fair Oaks|La Mesa JH|Golden Valley HS
Blue Cloud|Rd|19877|19877|Plum Cyn|Arroyo Seco JH|Saugus HS
Blue Curl|Wy|21205|21319|Rio Vista|La Mesa JH|Golden Valley HS
Blue Moon|Ct|18500|18520|Leona Cox|Sierra Vista JH|Canyon HS
Blue Ridge|Wy|25067|25096|Pico Cyn|Rancho Pico JH|West Ranch HS
Blue Sky|Ln|27800|27898|Cedarcreek|Sierra Vista JH|Canyon HS
Blue Spruce|Pl|27272|27297|Bridgeport|Rio Norte JH|Valencia HS
Blueridge|Dr|27200|27399|Helmers|Rio Norte JH|Valencia HS
Bluesky|Wy|31200|31351|Northlake Hills|Castaic MS|Castaic HS
Bluestone|Pl|23700|23749|Helmers|Rio Norte JH|Valencia HS
Bobcat|Wy|28101|31699|Northlake Hills|Castaic MS|Castaic HS
Bobwhite|Cr|28100|28251|Rosedell|Arroyo Seco JH|Saugus HS
Bockdale|Av|28254|28299|Mitchell|Sierra Vista JH|Canyon HS
Bodie|Pl|21500|21517|Bouquet Cyn|Arroyo Seco JH|Saugus HS
Bond|Ct|0|0|Mint Cyn|La Mesa JH|Golden Valley HS
Bonita||0|0|Live Oak|Castaic MS|Castaic HS
Bonlee|Av|27100|27189|Rio Vista|La Mesa JH|Golden Valley HS
Bonnie|Wy|0|0|Castaic Elem|Castaic MS|Castaic HS
Bonnie View|Av|28301|28313|Mint Cyn|La Mesa JH|Golden Valley HS
Bonsai|Ct|28800|28814|Castaic Elem|Castaic MS|Castaic HS
Bookham|Dr|18734|18741|Leona Cox|Sierra Vista JH|Canyon HS
Borage|Ct|27702|27715|Rosedell|Arroyo Seco JH|Saugus HS
Borgona|Ln|0|0|Borton|Rio Norte JH|Valencia HS
Bottletree|Ln|21000|21499|Mc Grath|La Mesa JH|Golden Valley HS
Bougainvillia|Wy|28800|28873|Pinetree|Sierra Vista JH|Canyon HS
Boulder|St|27711|27742|Northlake Hills|Castaic MS|Castaic HS
Boulder Creek|Rd|16000|16199|Sulphur Springs|Sierra Vista JH|Canyon HS
Boulder Crest|Ct|28100|28119|Skyblue Mesa|Sierra Vista JH|Canyon HS
