AmountID;Amount;EmployeeID;CustomerID
2030;335.46;11;1929
2031;44.73;9;1930
2048;106.49;8;1946
2059;503.57;4;1954
2066;21.36;13;1960
2072;719.11;11;1964
2081;477.64;15;1971
2085;418.61;14;1975
2098;386.09;3;755
2123;145.95;9;2007
2132;331.26;14;2015
2140;53.28;2;2023
2160;751.84;12;2042
2168;349.20;7;2048
2174;540.14;1;2053
2175;517.89;12;2054
2195;70.78;12;2070
2216;183.28;5;2089
2227;479.72;1;2098
2243;744.10;3;2113
2256;87.77;8;2125
2263;798.45;1;2132
2284;55.03;13;2150
2303;551.98;9;2167
2307;445.28;2;2171
2313;228.90;8;2176
2314;717.73;8;2177
2319;302.69;8;2182
2325;791.37;9;2187
2334;304.81;14;1057
2338;116.95;12;2199
2350;226.54;4;2211
2368;802.63;9;2227
2378;136.27;1;2236
2380;43.26;1;396
2387;647.16;12;2243
2391;499.58;4;2247
2412;287.01;4;2263
2416;265.85;7;2266
2423;602.49;9;2272
2451;703.03;12;2294
2456;227.68;1;371
2470;111.85;3;2310
2478;592.88;13;2316
2521;165.98;4;2356
2547;395.73;1;2380
2552;884.94;3;2385
2566;696.81;14;1525
2606;661.54;7;2430
2607;756.01;13;2431
2612;372.35;1;2436
2615;151.22;15;1286
2621;32.81;14;2443
2622;890.75;2;2444
2653;818.68;3;2470
2657;586.75;11;1401
2674;151.95;8;2486
2699;370.48;4;2508
2706;328.37;14;2512
2710;249.06;15;2515
2733;282.39;14;2537
2774;465.08;13;236
2790;375.44;6;2586
2791;470.68;5;2587
2793;973.06;11;2588
2795;733.59;6;2590
2796;98.92;10;2591
2801;301.87;15;334
2813;482.95;4;2606
2832;150.91;3;2625
2862;480.67;10;2652
2868;365.93;3;2657
2883;825.90;3;2669
2934;718.87;9;2715
2947;527.05;13;2726
2966;447.19;12;2742
2970;538.51;13;2745
3043;295.01;3;2810
3050;198.05;10;2817
3070;245.31;1;2834
3088;299.21;12;2847
3128;644.48;15;2884
3129;748.52;4;2885
3140;296.95;11;2895
3151;202.58;1;1352
3164;738.59;6;2915
3188;382.21;9;651
3210;334.79;8;2953
3212;783.96;2;2955
3228;452.91;7;2969
3243;897.05;1;2982
3275;220.41;4;3013
3281;451.26;8;2871
3291;208.58;4;1960
3294;181.59;5;3026
3317;535.27;2;3046
3340;235.00;11;3067
3341;165.99;7;913
3359;366.42;12;3081
3378;437.19;13;3099
3383;263.11;5;3103
3385;89.85;9;3105
3386;498.08;9;377
3391;770.21;14;3110
3395;876.25;13;3113
3405;293.05;7;3122
3407;846.11;2;3124
3409;868.24;3;3126
3412;170.09;3;3129
3429;450.20;8;3144
3444;522.77;4;3155
3474;925.87;9;3177
3478;701.41;4;201
3482;485.81;9;3183
3484;717.98;1;3185
3486;534.03;12;3187
3514;985.18;8;495
3520;222.60;3;3210
3533;841.82;4;3221
3536;311.90;4;3224
3547;727.08;13;3234
3564;58.57;15;3247
3589;249.80;3;3271
3626;141.65;8;1207
3633;528.02;3;3304
3643;851.42;3;3314
3664;108.66;14;3330
3669;350.43;4;3335
3672;946.16;3;3338
3681;161.55;6;3347
3692;294.49;15;1833
3698;719.57;6;3360
3710;664.25;7;650
3712;928.12;7;3373
3715;259.94;1;3376
3725;460.92;3;3386
3727;432.37;15;3387
3738;730.05;9;3397
3751;416.25;4;3409
3796;421.83;12;3444
3801;472.33;6;3446
3802;542.95;15;3447
3805;505.04;2;3450
3812;465.87;12;3456
3831;640.84;2;3469
3834;686.39;5;3471
3847;508.74;15;3483
3858;475.49;11;3491
3868;104.35;13;3500
3888;465.32;2;3515
3896;620.76;10;3521
3898;255.54;9;3523
3903;182.54;8;3527
3907;450.12;4;3142
3937;115.05;7;3554
3943;408.13;14;3559
3985;95.33;4;3590
4011;583.76;12;3187
4026;572.89;12;3627
4034;417.74;8;3633
4059;759.11;8;3653
4061;675.59;2;3655
4087;27.15;9;3677
4114;240.71;12;3699
4131;702.10;2;3712
4137;163.78;10;836
4176;338.04;8;3748
4193;298.02;6;3763
4195;194.60;14;3352
4196;262.38;6;3765
4199;243.74;15;3768
4222;133.00;6;3784
4241;983.55;6;622
4243;975.19;7;3797
4252;369.28;14;3803
4269;575.25;9;3816
4273;352.32;5;3820
4323;184.67;6;3860
4360;522.92;15;3892
4372;582.65;7;3903
4373;437.45;7;3904
4380;634.03;11;550
4399;277.82;6;3925
4412;946.19;14;3935
4419;369.19;1;3941
4459;754.76;13;3972
4481;809.01;15;907
4487;415.66;3;3994
4542;108.86;11;4040
4565;729.54;11;1634
4573;632.16;15;4063
4578;570.89;6;4068
4579;827.74;14;3219
4605;607.94;12;4091
4609;322.23;10;4095
4621;744.36;7;1401
4639;967.59;14;4119
4648;941.37;11;4126
4665;754.91;13;4140
4682;665.12;11;4156
4685;321.99;12;4158
4704;178.06;8;4172
4712;592.66;12;4178
4749;340.28;8;4209
4750;325.87;11;4210
4753;323.23;14;4213
4790;484.04;3;4239
4796;649.15;2;4244
4798;565.36;14;4245
4801;339.51;5;2738
4804;137.35;12;4249
4811;364.70;10;4255
4822;470.60;1;2468
4862;395.10;11;4293
4868;462.84;7;4299
4872;484.70;15;4301
4876;192.80;14;3259
4882;257.79;5;4308
4884;809.11;3;4310
4889;549.42;13;4313
4904;986.07;8;3680
4905;119.51;8;1435
4920;725.34;11;4340
4936;976.51;11;4352
4972;718.76;2;4211
4974;923.44;6;4381
4997;392.09;4;4396
5010;557.94;8;4408
5020;567.86;9;2957
5043;415.18;14;4433
5044;915.17;15;4434
5046;365.93;1;4436
5087;867.50;14;1091
5096;840.08;15;4474
5112;958.98;4;4490
5115;152.77;10;4493
5127;175.14;10;4503
5130;997.20;7;4505
5152;414.46;8;4520
5191;675.87;5;4552
5194;623.06;6;4555
5202;107.36;13;4561
5207;878.09;3;4566
5229;740.85;3;4585
5244;285.31;14;1032
5252;507.45;10;4603
5290;231.68;11;4628
5302;987.47;13;708
5347;987.75;1;4669
5368;411.54;14;4687
5369;597.15;9;4688
5378;466.47;2;4695
5383;118.17;9;4698
5390;675.04;1;4702
5414;769.53;9;4720
5476;113.19;10;722
5477;940.97;7;4766
5484;410.47;7;1447
5488;135.80;3;4771
5490;578.50;12;4773
5492;603.15;12;4775
5512;741.74;6;4792
5537;738.63;11;4808
5544;79.91;5;4815
5555;826.14;6;4822
5578;95.34;8;4839
5587;208.29;3;4847
5591;817.56;9;4850
5601;995.21;4;4855
5604;313.50;4;845
5605;732.82;11;4857
5613;575.23;2;707
5621;259.88;8;4870
5646;501.71;15;4891
5652;344.66;12;4895
5658;242.24;14;4900
5702;855.12;11;4931
5707;777.80;9;4936
5717;950.63;6;4946
5763;760.72;6;4976
5779;172.18;15;4987
5849;80.22;12;5040
5864;354.51;9;5052
5866;49.68;8;5053
5899;765.41;14;5077
5901;633.07;14;5079
5914;388.89;10;2412
5931;751.84;14;5098
5933;946.66;2;5100
5942;81.22;4;4857
5944;32.56;2;5031
5966;525.80;13;5121
6002;129.87;13;1239
6012;255.76;7;5158
6016;506.83;4;5161
6041;573.50;6;5180
6092;843.40;7;3273
6147;734.68;6;81
6155;541.75;10;4010
6178;288.06;2;5287
6197;59.73;8;5305
6217;61.06;2;5321
6236;609.52;1;5335
6247;829.34;13;5345
6291;428.76;7;3658
6309;970.12;8;1652
6313;863.52;1;5393
6320;538.47;3;5398
6339;740.14;1;5414
6340;347.81;15;5415
6356;716.70;3;5426
6383;720.36;14;5448
6385;579.33;2;1613
6389;435.85;7;5452
6401;511.05;1;5461
6405;853.62;14;5465
6408;640.70;6;5467
6409;759.61;5;5468
6414;240.80;9;5471
6425;811.52;5;5477
6464;618.49;3;5505
6480;452.00;14;5513
6482;216.61;9;368
6499;999.97;15;5527
6505;117.94;13;5219
6506;242.80;2;5532
6540;690.06;5;5559
6554;380.03;13;1705
6555;774.99;11;5568
6575;204.47;9;5587
6582;198.26;6;5009
6597;978.46;13;5604
6598;390.71;2;5605
6600;803.07;5;5607
6657;44.35;4;5648
6670;963.90;14;194
6672;938.95;14;4252
6676;260.66;4;3176
6709;831.62;10;4316
6720;198.62;9;3300
6729;696.95;11;5637
6730;144.86;9;5700
6742;798.82;14;1160
6752;507.11;3;5714
6755;233.53;15;5716
6757;721.63;8;5627
6776;237.44;6;5730
6791;639.78;7;5741
6804;672.78;1;5751
6830;844.71;13;5774
6839;776.80;8;5779
6843;238.13;3;2431
6870;854.63;1;4893
6911;957.74;6;5832
6933;110.84;14;5845
6941;358.38;8;1625
6948;365.12;6;575
6974;700.48;3;1707
6985;125.51;13;5881
7009;489.94;2;5897
7014;203.54;3;5901
7020;953.32;3;5906
7032;199.48;10;5914
7039;343.25;13;1867
7050;842.91;15;5927
7092;960.12;4;5952
7094;364.75;5;5954
7106;624.54;2;2749
7122;993.90;5;5975
7129;846.17;13;3485
7131;980.30;13;5980
7133;290.52;6;5982
7141;319.25;3;5988
7142;657.68;15;5989
7146;948.95;7;5992
7165;248.64;3;6004
7184;82.40;4;6016
7236;747.28;8;6052
7243;421.91;4;6055
7255;638.99;12;6065
7266;925.03;8;6074
7276;378.22;7;6083
7284;389.71;4;4948
7286;164.96;10;3564
7292;850.36;7;6096
7296;572.86;2;6099
7320;299.77;14;5067
7331;160.22;10;1783
7332;920.81;7;6120
7336;960.05;9;6122
7344;303.77;3;6128
7348;315.48;2;6132
7349;528.22;6;6133
7377;628.86;14;6152
7384;846.42;5;5337
7386;586.35;11;6157
7402;518.07;5;6172
7421;402.76;8;6186
7422;528.88;4;6187
7440;347.73;9;6201
7477;691.12;12;6227
7482;489.56;12;298
7503;112.50;15;6246
7504;371.84;3;184
7522;972.34;7;6258
7524;627.06;9;3427
7531;919.39;10;6090
7537;894.17;10;2437
7569;412.22;1;5170
7573;83.70;5;6288
7591;35.84;6;6301
7604;688.05;11;6310
7615;921.57;1;6317
7627;802.14;2;6326
7628;640.27;9;6327
7650;615.40;3;6339
7652;367.23;12;5938
7656;918.56;1;4449
7675;313.76;10;6356
7696;676.55;11;6372
7713;258.19;10;6386
7716;930.71;3;6389
7719;111.41;3;6391
7737;564.04;10;4221
7738;826.12;12;6404
7752;154.01;14;6417
7774;218.46;6;3791
7782;823.46;14;1610
7845;487.19;6;6477
7857;712.10;7;614
7868;743.45;11;6497
7879;141.36;13;6504
7896;189.09;3;5807
7928;514.21;15;6538
7931;651.33;11;6210
7933;951.64;13;6540
7945;131.04;2;6549
7947;281.84;4;1138
8001;810.13;5;6586
8014;230.00;10;6593
8032;830.53;8;6605
8058;849.36;7;6621
8065;655.40;5;6626
8118;652.68;5;6659
8138;181.18;15;4932
8139;31.17;11;6670
8152;827.96;6;2974
8190;33.10;4;4953
8198;693.50;5;6711
8214;355.18;10;3566
8222;642.11;10;6731
8227;693.53;6;6733
8232;620.78;9;6737
8244;730.55;6;6746
8249;305.64;9;6750
8252;439.34;3;6752
8260;488.80;13;4782
8267;105.73;8;6759
8288;897.67;12;6772
8355;616.19;10;6811
8359;727.02;10;6814
8361;568.73;5;6816
8376;354.41;1;6825
8388;82.13;4;6835
8420;195.93;6;6857
8427;406.96;4;6533
8428;80.76;8;4611
8429;150.84;3;4466
8450;253.02;13;195
8453;959.05;1;6874
8455;62.03;13;6876
8461;684.96;13;4094
8467;996.37;2;6882
8475;445.10;10;6014
8484;217.09;1;6892
8485;209.15;10;617
8490;589.01;5;6896
8493;863.28;3;6898
8496;93.08;8;21
8497;222.63;12;5149
8503;193.62;14;2058
8541;95.45;11;6924
8550;849.62;8;6933
8552;196.07;7;6934
8555;904.63;2;4536
8563;861.77;3;4391
8571;386.33;7;6946
8576;920.31;10;724
8585;936.61;14;6952
8588;201.93;2;6954
8617;574.65;11;6970
8622;445.74;5;6974
8637;248.30;11;6984
8643;859.01;14;1772
8655;38.68;14;4627
8663;959.67;11;637
8684;822.57;4;7011
8686;675.22;4;4274
8697;350.01;8;7022
8699;610.83;15;7023
8716;517.25;8;7032
8732;111.21;6;7044
8752;879.04;1;144
8759;230.92;6;7064
8778;688.93;1;7079
8792;28.58;1;7084
8820;540.85;6;7101
8829;695.40;15;7108
8850;442.00;11;7123
8872;668.37;1;7141
8877;369.21;1;7145
8896;477.94;5;3047
8917;315.83;2;7171
8948;108.96;11;7192
8950;464.27;1;7194
8962;676.17;5;7200
8975;697.53;9;7209
8989;394.40;7;7217
9013;891.67;12;1943
9016;203.30;10;480
9029;431.99;2;7247
9048;221.82;10;1468
9099;557.24;4;5885
9108;216.44;9;7298
9119;556.59;5;7305
9127;613.04;5;7311
9149;88.15;6;7325
9152;155.09;15;7328
9155;789.23;6;7331
9170;210.25;8;5622
9186;193.24;2;7349
9209;32.81;7;5826
9211;759.10;1;7363
9215;581.30;2;7365
9229;242.96;13;3708
9242;770.67;3;7382
9252;853.29;13;7391
9288;350.42;15;5146
9289;722.69;5;7422
9298;623.58;10;7428
9311;78.49;2;7437
9328;263.95;8;7448
9329;872.83;14;3775
9344;370.60;1;7458
9364;407.59;10;428
9372;518.42;3;7477
9394;829.00;10;7489
9395;831.52;8;2881
9402;265.57;6;2612
9409;27.10;4;7497
9468;865.64;13;1754
9472;384.53;7;1293
9478;995.39;8;7540
9498;493.07;9;6062
9507;628.26;6;3448
9515;103.01;7;7562
9516;431.35;13;7563
9522;868.49;12;6689
9538;278.24;1;7571
9561;877.04;5;2804
9570;493.78;7;7586
9622;255.71;9;7619
9637;733.19;4;5767
9641;468.72;1;7630
9664;518.00;6;7647
9673;37.85;4;7655
9706;979.57;2;5661
9717;664.08;4;6629
9728;289.19;5;4687
9739;871.46;4;7690
9743;638.93;11;6187
9744;683.28;13;7691
9754;208.47;3;4199
9758;196.30;5;4490
9760;133.78;1;7703
9767;437.32;9;4532
9796;408.98;7;7721
9802;595.67;7;7723
9806;859.23;5;5850
9807;609.00;3;7724
9831;433.24;3;7385
9834;911.13;9;7746
9835;656.06;2;7747
9840;347.36;14;3173
9847;827.71;14;7755
9851;157.09;5;7759
9857;234.44;7;7765
9858;31.01;2;570
9875;832.87;4;7772
9899;289.32;11;7791
9915;162.51;14;7802
9921;488.47;11;7713
9924;377.74;5;7809
9949;694.81;6;7821
9951;494.50;12;356
9968;277.11;13;7458
9974;333.27;14;7835
9976;507.98;1;7836
9977;930.70;2;7837
10014;755.57;15;145
10025;132.14;3;7868
10076;22.29;9;7899
10098;314.36;14;3613
10099;565.57;4;5165
10107;933.04;15;7916
10113;909.70;5;3930
10120;909.34;3;7925
10148;325.96;11;7947
10149;771.45;2;7948
10153;792.89;12;7951
10166;751.44;8;7007
10176;924.03;8;7964
10177;806.11;9;1692
10188;875.64;5;7971
10203;78.41;12;7980
10205;531.35;4;7982
10242;202.56;4;5745
10245;644.56;11;8003
10253;857.99;14;8007
10255;772.29;5;7253
10285;900.32;13;7343
10304;102.38;12;8048
10306;310.95;4;8049
10315;385.98;13;8057
10339;704.13;4;8071
10361;961.27;8;4945
10362;980.68;6;6115
10368;834.70;1;8085
10369;641.45;13;2333
10374;244.51;15;8089
10382;298.09;14;7026
10387;511.18;10;8095
10409;682.17;11;8109
10428;882.28;2;8006
10432;130.63;1;8125
10443;71.16;5;1785
10463;570.80;4;5455
10473;694.78;12;8148
10476;298.70;13;1442
10508;27.05;6;6570
10529;144.23;8;8184
10536;29.55;5;8188
10539;320.99;13;6795
10617;255.37;14;8238
10624;174.89;6;1455
10631;244.99;8;8247
10638;146.19;5;1651
10646;340.48;11;8256
10655;415.69;12;5606
10674;517.90;12;5690
10723;264.68;15;8295
10728;982.90;1;8298
10755;211.11;13;8317
10765;401.31;11;8323
10781;581.44;15;7848
10786;206.57;6;6788
10827;132.82;12;4812
10831;452.87;7;973
10834;358.65;1;7919
10860;583.18;2;8383
10862;469.04;12;8385
10876;272.64;6;7132
10905;341.59;5;8411
10914;101.69;13;7234
10915;657.51;3;8417
10932;92.28;14;8430
10933;192.06;2;8431
10946;196.50;15;7260
10952;970.65;8;8439
10965;811.98;6;1563
10974;46.03;6;8449
10976;812.65;5;8451
10988;372.46;8;6021
11005;938.32;9;8466
11012;498.23;7;3155
11013;758.42;4;7584
11014;30.66;12;8469
11037;810.23;8;8482
11056;993.37;6;6949
11070;973.19;1;1751
11074;535.81;2;8501
11089;794.45;2;8509
11109;884.39;4;8520
11122;695.45;4;1183
11162;324.32;5;8546
11179;776.71;8;8558
11187;225.26;15;8561
11191;696.67;14;5205
11201;81.87;13;138
11226;577.20;14;1192
11238;957.46;15;6701
11250;436.31;12;8592
11269;847.41;4;8402
11300;683.04;5;463
11363;90.57;9;8660
11365;520.36;12;8662
11370;284.34;11;423
11372;484.57;1;4952
11392;890.20;2;8679
11398;632.87;6;8683
11462;351.40;3;8715
11477;782.85;8;2195
11486;91.70;14;2775
11496;217.91;15;8735
11497;950.96;15;8736
11511;452.49;15;3912
11515;629.78;15;7145
11516;824.59;4;8746
11522;187.38;11;8747
11559;23.23;6;8764
11589;449.31;10;2632
11626;670.93;5;2319
11628;885.17;5;1360
11637;451.89;9;6993
11638;192.62;9;5988
11700;216.41;13;8842
11720;691.43;8;5656
11738;404.52;14;8861
11791;39.82;12;2245
11816;756.95;5;2284
11818;695.42;9;8903
11833;666.82;6;3390
11837;941.36;3;8914
11845;260.75;15;8921
11850;844.66;5;8924
11852;135.92;6;3549
11860;137.46;6;5521
11879;411.20;13;8935
11880;389.81;2;8936
11883;730.17;13;8938
11895;834.23;11;8944
11900;396.71;2;3301
11913;737.23;14;1795
11915;949.00;3;8549
11922;914.22;7;8958
11924;713.70;5;8960
11949;363.36;11;8975
11950;713.05;11;7379
11951;246.82;2;3495
11954;438.26;6;7388
11962;288.49;12;2202
11974;575.50;9;3393
11979;212.76;7;8993
12012;104.64;2;6373
12014;63.85;5;2305
12022;945.21;9;6822
12038;941.52;6;9018
12044;342.75;15;9022
12046;477.22;13;9023
12059;229.31;1;8237
12076;938.28;5;9044
12087;917.84;9;9050
12096;849.63;7;9055
12100;216.94;12;5455
12105;437.50;8;9060
12142;441.48;5;9080
12153;766.76;12;1180
12163;724.44;12;9091
12175;432.61;8;9099
12177;717.74;12;9101
12184;660.03;7;9105
12227;835.50;11;7570
12230;461.19;5;1715
12232;924.43;13;1469
12236;881.93;1;7750
12244;31.00;10;5256
12247;861.42;11;5490
12259;49.46;1;9140
12279;260.71;8;5738
12288;897.64;3;9155
12290;997.81;3;4591
12298;207.96;1;9159
12308;253.85;5;9168
12325;478.02;15;9180
12363;829.63;11;8247
12391;788.56;13;4096
12394;528.36;12;8734
12438;242.36;8;9244
12482;580.86;11;2973
12490;65.33;8;9271
12541;517.50;3;3088
12553;671.72;2;9308
12570;606.55;10;9314
12603;141.35;2;9334
12610;825.93;13;4378
12633;952.19;8;1860
12658;316.28;6;60
12661;499.50;4;9361
12673;403.02;1;6932
12678;566.49;3;4761
12688;875.68;14;9373
12693;730.39;14;9378
12696;976.92;15;9379
12715;696.52;4;9391
12761;909.27;4;3364
12780;905.73;10;5392
12783;543.59;12;9428
12807;204.00;11;2937
12810;516.91;15;8634
12812;718.97;13;7839
12828;490.22;4;4462
12836;77.45;2;9458
12838;257.30;13;9459
12841;740.02;3;6325
12861;625.52;9;9475
12871;967.59;10;5649
12923;791.32;9;7688
12927;898.06;13;9510
12928;679.72;14;9511
12948;900.25;5;9525
12950;576.75;3;9527
12960;747.90;3;5810
12963;108.75;11;9531
12985;858.44;15;9543
13013;651.93;4;9558
13024;679.18;1;9565
13032;449.87;1;9571
13036;300.44;2;1259
13043;741.01;9;8920
13044;363.43;5;9576
13050;381.45;2;9579
13057;810.98;4;9581
13072;259.13;1;3164
13084;249.75;15;7081
13091;652.58;13;9598
13093;560.76;3;9599
13097;555.67;3;8197
13110;857.14;9;9607
13118;935.92;1;9609
13152;203.51;5;9631
13164;393.50;11;5020
13165;29.50;2;9636
13167;676.54;15;9638
13192;137.55;14;1009
13195;848.13;3;9651
13202;968.53;14;409
13209;360.18;3;3306
13217;682.25;13;9661
13231;945.15;11;9673
13280;483.26;6;8726
13297;104.59;5;2977
13316;189.87;14;9717
13329;382.89;9;1475
13331;822.54;7;8554
13333;214.34;11;9723
13342;130.75;5;6168
13358;528.48;5;9738
13369;81.74;12;4195
13370;318.33;4;9745
13372;956.80;12;9747
13377;440.16;8;3162
13388;802.48;14;9755
13390;555.01;4;9757
13436;189.26;13;9781
13445;163.61;3;3210
13456;265.10;15;9788
13468;336.51;12;2223
13469;436.87;14;9794
13477;814.10;1;2096
13480;304.46;12;9800
13503;67.55;12;8566
13521;669.50;9;9820
13575;812.70;4;9844
13583;324.56;7;9849
13587;955.37;14;9852
13590;427.97;9;5294
13606;499.25;12;8982
13607;837.78;6;7361
13609;582.51;8;5180
13614;823.84;7;2555
13618;33.43;6;6848
13619;344.86;13;9867
13620;965.45;4;9868
13650;710.40;1;9885
13655;386.38;9;9888
13659;639.44;15;1118
13687;871.43;6;9908
13720;797.21;1;9923
13747;964.08;8;2545
13756;735.14;8;5867
13759;175.74;2;9941
13812;323.38;15;9969
13815;829.23;5;9971
13879;813.29;6;10003
13894;641.10;13;10010
13927;385.92;8;10023
13943;707.62;5;10033
13951;913.75;6;10038
13958;254.01;5;10041
13969;57.84;13;4901
13973;616.42;12;8602
13986;851.61;7;1379
13993;989.02;9;1143
14019;732.56;3;10065
14027;689.91;8;6039
14034;464.12;6;7802
14056;117.04;2;9172
14065;277.69;9;10086
14077;520.08;7;5210
14078;626.57;5;10091
14134;513.52;3;2933
14140;858.40;6;10117
14152;227.04;3;10125
14157;387.70;13;10127
14198;717.96;4;10146
14200;958.73;15;10147
14213;493.47;3;4624
14241;168.06;2;10164
14245;989.12;7;10167
14249;400.19;5;10170
14263;939.83;13;10179
14273;555.44;13;10186
14357;484.20;7;10226
14361;294.93;12;593
14367;560.04;2;3405
14384;850.73;5;10241
14402;506.88;12;10249
14404;275.43;1;8851
14418;64.60;11;1144
14433;587.91;12;10264
14436;747.89;10;4976
14438;37.72;10;10267
14456;874.15;15;10277
14470;700.27;13;10288
14487;916.28;7;10300
14497;387.27;7;10303
14510;36.98;2;10307
14537;603.20;9;872
14540;553.16;15;6540
14546;548.62;13;10322
14547;97.25;10;10323
14570;478.20;12;10331
14575;920.66;10;9781
14577;730.25;6;1971
14579;903.42;5;10335
14586;465.49;2;10339
14596;538.33;9;7227
14599;117.61;13;10345
14604;552.75;2;8365
14626;476.67;6;10361
14634;194.82;13;10367
14666;728.15;1;3584
14691;830.70;14;10397
14701;718.33;2;7816
14703;72.96;3;10403
14704;325.10;12;1638
14707;750.73;8;10405
14713;662.50;3;6589
14719;178.81;13;5384
14726;560.02;15;10415
14728;288.26;11;10417
14740;197.83;4;10422
14757;535.79;12;10431
14811;827.69;11;10457
14839;53.24;7;10468
14856;816.46;3;10478
14859;194.41;7;2142
14865;700.13;12;10482
14904;606.01;15;10506
14908;856.07;3;3244
14948;765.38;13;10525
15002;943.61;14;10551
15004;768.42;7;10552
15032;759.79;13;10565
15037;403.16;5;10569
15065;839.93;15;1947
15075;703.55;1;9489
15083;524.03;9;10586
15104;977.88;14;10594
15125;436.35;8;10607
15139;308.40;10;10613
15140;804.75;14;9403
15147;414.57;1;10618
15152;177.12;9;8200
15161;727.85;11;10624
15166;624.66;2;10627
15186;607.28;7;257
15189;913.43;10;10639
15230;912.82;1;10658
15252;980.28;4;5920
15268;63.07;4;10678
15295;183.30;8;9172
15298;647.88;15;1297
15313;906.61;15;1316
15315;660.25;2;1859
15320;647.47;5;5795
15326;807.24;15;10701
15349;755.30;13;6848
15353;185.44;7;4955
15367;212.81;2;10715
15393;470.65;5;10726
15403;517.40;13;5112
15407;899.80;6;9384
15408;869.65;12;10732
15438;420.94;5;10746
15448;427.10;3;10750
15453;339.86;14;10751
15455;941.23;5;1423
15476;58.99;10;10763
15480;670.25;2;6950
15486;329.25;2;7279
15488;925.22;7;163
15505;638.62;6;1407
15538;697.33;2;10788
15574;54.40;8;10805
15582;585.74;13;1316
15608;888.81;12;2241
15621;418.44;1;10826
15626;793.53;8;5703
15656;77.08;2;10846
15659;517.56;3;10848
15695;151.99;15;10871
15701;460.46;4;7694
15706;898.13;3;10877
15737;895.10;14;8587
